end_date,total_revenue,n_income_attr_p,n_cashflow_act,free_cashflow,roe,roic,grossprofit_margin,netprofit_margin,debt_to_assets,current_ratio,quick_ratio,ocf_to_profit,total_assets,total_liab,money_cap,st_borr,lt_borr,bond_payable,total_revenue_yoy,n_income_attr_p_yoy,n_cashflow_act_yoy,free_cashflow_yoy,interest_debt,net_cash,cfo_np
20251231,28873380466.76,7038465194.15,7745950953.79,6896704270.104,19.4904,17.5965,40.2229,24.4012,19.8227,3.8549,3.6105,89.4007,52183944926.12,10344267800.4,24603677724.73,140850000.0,,,7.33208653416233,10.944600226143454,13.18349184540548,-38.52590570383608,140850000.0,24462827724.73,110.05170502552211
20241231,26900977516.7,6344125969.0,6843710887.07,11218879023.8661,21.3513,19.3419,36.9974,23.6269,23.1445,3.6549,3.3739,91.1695,40858435135.91,9456491552.41,22114735922.46,293464953.68,33200000.0,,9.534734222644726,12.751867021232744,-6.959820562820229,109.18419158596295,326664953.68,21788070968.78,107.87476352946295
20231231,24559312356.59,5626626091.97,7355650997.74,5363158152.0613,20.4872,18.1562,34.7354,22.9737,24.4396,3.4438,3.1507,109.0568,38423518405.62,9390542813.5,21689385461.71,362645734.42,70270400.0,,-4.101341187421193,-9.214535884591236,92.03779063324886,425.8733611040834,432916134.42,21256469327.29,130.72933721751238
20221231,25609651543.29,6197716943.78,3830314321.72,1019857355.1627,24.8908,21.965,35.6812,24.222,21.0654,4.0144,3.6584,52.097,34059175850.3,7174696439.08,18223307402.03,131720077.32,93653455.89,,2.422091456959996,-7.091261312304054,-39.42738987925068,-81.80510386105514,225373533.20999998,17997933868.82,61.802020912944165
20211231,25004031043.49,6670757811.72,6323508784.06,5605183714.0184,30.6914,28.0499,38.6625,26.6816,29.5097,2.9102,2.6752,80.8589,33337724549.58,9837875983.2,19813767427.18,104600000.0,,,9.705902696567282,4.184033699760548,-9.0199174607969,-9.696246396586783,104600000.0,19709167427.18,94.79445907854861
20201231,22791873936.49,6402859991.91,6950432014.98,6207032919.8437,34.9402,32.9651,42.1689,28.1198,31.7184,2.6651,2.4339,90.9282,29533620038.66,9367585493.7,16957675015.45,92600000.0,,,,,,,92600000.0,16865075015.45,108.55199120021139
