rank,ts_code,name,trade_date,fin_end_date,ind_end_date,close,mkt_cap_yuan,pe_ttm,pb,ps_ttm,dv_ttm,revenue,net_profit,revenue_yoy,net_profit_yoy,revenue_cagr_3y,net_profit_cagr_3y,roe,roic,grossprofit_margin,ocf_to_profit,debt_to_assets,current_ratio,cfo_np_ratio,net_cash_to_mcap,growth_score,quality_score,valuation_score,risk_score,total_score,focus_flag
1,688049.SH,炬芯科技,20260421,20251231,20250930,46.81,8199597696.999999,40.079,4.008,8.8896,0.6197,922378714.01,204586027.73,0.41496158438954756,0.9195008093463646,0.3053402373694505,0.5613286479774715,7.8598,6.3168,50.9613,150.3043,14.4085,6.6562,1.239113160037305,0.12016595133081931,78.28377896613192,75.23529411764706,80.98834128245893,66.66666666666666,76.01515488750783,1
2,688591.SH,泰凌微,20260421,20241231,20250930,34.45,8293614815.0,83.0555,3.3777,8.1417,0.5846,844033021.15,97410270.82,0.3269042805573239,0.9571396304245281,0.0912424374457852,0.00835928368198946,5.7979,5.0284,50.7236,130.1235,5.6589,21.2548,1.5369991654849195,0.20659834727205137,61.7825311942959,72.92156862745098,69.18388977212506,95.29411764705881,72.18820397938045,1
3,688608.SH,恒玄科技,20260421,20251231,20250930,168.35,28399590287.0,47.8109,4.0268,8.0571,0.5059,3524782057.99,593998801.42,0.0801813236377007,0.2899819567978943,0.3339972350939109,0.6929537709118294,7.4712,6.9035,38.5115,73.243,7.5945,12.1128,0.752089134055546,0.12449508771464342,70.9554367201426,60.62745098039215,77.05352411234765,87.25490196078431,71.00517897576721,1
4,688018.SH,乐鑫科技,20260421,20251231,20250930,167.8,28046597078.0,51.9595,6.2385,10.5621,0.238,2565275431.81,497840142.33,0.27821529131256795,0.4671530716207992,0.26371264100988867,0.7230239803325986,11.6517,10.8515,46.1698,79.5501,12.7441,8.1474,1.0497788090852125,0.036538936867811914,77.73226381461676,69.94117647058823,65.52729199788023,67.05882352941177,70.96337283807871,1
5,688252.SH,天德钰,20260421,20241231,20250930,21.24,8687613283.0,41.5707,3.5321,4.0009,0.3368,2101972722.42,274880771.0,0.7387700335677394,1.4361269306376845,0.23507009256639289,-0.058451358046137214,8.6063,7.083,23.3122,122.3777,14.1121,6.5536,0.4981308353504291,0.20228504501792752,68.55436720142602,64.09803921568628,86.24801271860095,70.0,70.75022642963819,1
6,688486.SH,龙迅股份,20260421,20241231,20250930,71.78,9570261014.0,52.7328,5.9905,16.2937,0.7418,466002733.23,144411417.58,0.4420750393332944,0.4062112368692554,0.2566891833188887,0.19763538688475402,8.4645,8.4223,55.9357,56.1013,4.7528,21.7934,0.8094100490721047,0.037608448395867335,70.7101604278075,63.13725490196078,59.883412824589286,88.23529411764706,68.52306402659343,1
7,688123.SH,聚辰股份,20260421,20251231,20250930,119.14,18856412182.0,51.8637,7.1894,15.4398,0.2516,1221283642.63,363576041.92,0.18769850774510388,0.2525463283779168,0.07596854818889076,0.00915288955501481,13.6004,13.0868,59.7834,90.9003,6.2114,14.2197,1.0977006613593534,0.050393880415230304,52.68484848484848,78.03921568627452,61.976682564917866,85.68627450980392,68.36745772510479,1
8,688008.SH,澜起科技,20260421,20251231,20250930,158.4,193596483326.0,86.5983,9.6832,35.4812,0.369,5456316783.63,2235569970.18,0.4994366944488251,0.5835127815162371,0.14109581234549506,0.19825958782554176,13.796,11.5776,61.4587,94.5037,10.8681,11.4018,0.904476524506721,0.043797202460037,72.56149732620321,76.70588235294116,40.87175410704823,74.70588235294117,67.99574119574119,1
9,603501.SH,豪威集团,20260421,20251231,20250930,92.85,117097580936.99998,28.9457,3.5828,4.0582,0.6644,28854805517.49,4045416530.33,0.12141814132947615,0.21730996944226555,0.12849058464085816,0.5986989851748277,12.3686,8.6554,30.4292,75.7211,37.3419,2.4593,1.0183166328026931,0.0779187916923654,63.3390374331551,64.7843137254902,93.37572866984631,40.3921568627451,66.41019029724913,1
10,688332.SH,中科蓝讯,20260421,20241231,20250930,127.78,15410037996.0,10.887,2.9156,8.3679,0.7807,1819033979.78,300097932.22,0.2572049620038033,0.19231661650896936,0.17422366161249125,0.09373836519155776,5.2241,4.2528,22.5897,-7.2536,7.852,11.0219,1.4265372070146813,0.10025071765306502,60.109447415329775,50.588235294117645,90.8055113937467,82.94117647058823,66.34099532687767,1
