end_date,ann_date,audit_result,audit_agency
20241231,20250320,标准无保留意见,容诚会计师事务所
20231231,20240320,标准无保留意见,大华会计师事务所
20221231,20230309,标准无保留意见,大华会计师事务所
20211231,20220308,标准无保留意见,大华会计师事务所
20201231,20210209,标准无保留意见,大华会计师事务所
20191231,20200909,标准无保留意见,大华会计师事务所
20181231,20200909,标准无保留意见,大华会计师事务所
20171231,20200909,标准无保留意见,大华会计师事务所
