ts_code,end_date,ann_date,roe,roic,grossprofit_margin,netprofit_margin,debt_to_assets,rn,name
300015.SZ,20250930,20251028,14.4374,11.7864,49.2741,19.2586,33.5258,1,爱尔眼科
300896.SZ,20250930,20251029,14.3967,13.6578,93.3619,59.3775,8.2004,1,爱美客
300957.SZ,20250930,20251028,4.4829,4.1615,74.3287,7.9656,24.1503,1,贝泰妮
301363.SZ,20250930,20251022,5.7982,4.9023,39.3434,17.4305,11.4255,1,美好医疗
688161.SH,20250930,20251031,5.1678,4.9814,64.618,19.089,19.7603,1,威高骨科
688366.SH,20250930,20251025,5.4445,4.0641,70.3878,15.506,17.3314,1,昊海生科
