ts_code,ann_date,end_date,total_revenue,n_income_attr_p,sell_exp,admin_exp,fin_exp,rd_exp
300896.SZ,20260320,20251231,2452617161.44,1291017682.24,386689516.79,182541915.8,7502332.93,359716754.45
300896.SZ,20250320,20241231,3025668449.47,1957596837.74,276761605.27,122823216.29,-31276290.06,303683955.88
300896.SZ,20240320,20231231,2869347231.89,1858475302.54,260321464.83,144268362.46,-54190424.53,250129948.62
300896.SZ,20230309,20221231,1938838363.7,1263558415.71,162674119.91,125433600.71,-45220175.45,173113507.55
300896.SZ,20220308,20211231,1447872001.48,957798548.01,156485514.71,64715829.23,-51920429.87,102312180.06
300896.SZ,20210209,20201231,709290197.0,439748783.82,70949966.34,43503035.21,-14334703.36,61804030.84
300896.SZ,20200909,20191231,557715652.79,305519840.87,77168218.27,48089374.08,-1706400.61,48563650.73
300896.SZ,20200909,20181231,321011015.33,122854839.34,62405881.7,44442642.86,-1716662.51,33677788.46
