ts_code,ann_date,end_date,total_assets,total_liab,total_cur_assets,total_cur_liab,money_cap,inventories,accounts_receiv,st_borr,lt_borr,bond_payable
300896.SZ,20260320,20251231,8908047716.98,743427421.3,4144939054.27,646495686.57,1227289283.18,93205188.37,137887735.32,,,
300896.SZ,20250320,20241231,8340486256.64,390369243.72,5045159392.48,343912196.01,1514666086.22,72843005.76,168453718.96,,,
300896.SZ,20240320,20231231,6852360636.01,367321812.58,4251298183.38,297667653.28,2433849444.16,49771209.0,206068105.21,,,
300896.SZ,20230309,20221231,6258547700.17,312767027.94,4133726744.79,224170502.8,3139586447.39,46715408.58,127758045.77,,,
300896.SZ,20220308,20211231,5264825778.13,235175026.7,3803250270.79,178586753.61,3263543715.87,34935247.26,72352566.3,,,
300896.SZ,20210209,20201231,4632668833.13,101444659.98,4375841324.09,89752520.2,3455840597.3,26804184.01,29821541.38,,,
300896.SZ,20200909,20191231,743645859.37,80945227.93,564699974.09,67242960.46,505609228.96,23292508.38,14737238.85,,,
300896.SZ,20200909,20181231,463606437.1,58866953.11,296258974.52,44682399.22,265547534.77,12966536.53,9115395.83,,,
