ts_code,trade_date,close,settle,vol,oi
LC.GFE,20251009,73340.0,73700.0,361093.0,229022.0
LC.GFE,20251010,72740.0,73100.0,294783.0,221919.0
LC.GFE,20251013,72280.0,72320.0,282178.0,207463.0
LC.GFE,20251014,72680.0,73160.0,270327.0,192931.0
LC.GFE,20251015,72720.0,73100.0,225238.0,188523.0
LC.GFE,20251016,74940.0,73820.0,268890.0,177951.0
LC.GFE,20251017,75700.0,75760.0,366375.0,159000.0
LC.GFE,20251020,75700.0,75900.0,169108.0,138434.0
LC.GFE,20251021,75980.0,75880.0,197979.0,310199.0
LC.GFE,20251022,77120.0,76740.0,376449.0,353231.0
LC.GFE,20251023,79940.0,78480.0,490920.0,419147.0
LC.GFE,20251024,79520.0,79880.0,613476.0,431174.0
LC.GFE,20251027,81900.0,81080.0,514455.0,483478.0
LC.GFE,20251028,81640.0,82240.0,729307.0,488803.0
LC.GFE,20251029,82900.0,82420.0,659421.0,506882.0
LC.GFE,20251030,83400.0,83640.0,829117.0,532871.0
LC.GFE,20251031,80780.0,82360.0,915245.0,510440.0
LC.GFE,20251103,82280.0,82120.0,586668.0,525184.0
LC.GFE,20251104,78560.0,79500.0,975978.0,457374.0
LC.GFE,20251105,79140.0,78960.0,515731.0,453260.0
LC.GFE,20251106,80500.0,79720.0,582033.0,471983.0
LC.GFE,20251107,82300.0,81260.0,810655.0,490951.0
LC.GFE,20251110,87240.0,85360.0,986569.0,534483.0
LC.GFE,20251111,86540.0,86760.0,902490.0,526493.0
LC.GFE,20251112,86580.0,86640.0,1145329.0,528966.0
LC.GFE,20251113,87840.0,88360.0,1106011.0,536514.0
LC.GFE,20251114,87360.0,87340.0,757432.0,516778.0
LC.GFE,20251117,95200.0,92660.0,1366919.0,562954.0
LC.GFE,20251118,93520.0,94600.0,1487724.0,484357.0
LC.GFE,20251119,99300.0,98160.0,1767428.0,503132.0
LC.GFE,20251120,98980.0,100020.0,1595646.0,479602.0
LC.GFE,20251121,91020.0,93160.0,1137824.0,411327.0
LC.GFE,20251124,90480.0,91320.0,454612.0,365078.0
LC.GFE,20251125,95400.0,93220.0,511279.0,343199.0
LC.GFE,20251126,96340.0,97460.0,810231.0,478054.0
LC.GFE,20251127,95820.0,97020.0,741463.0,507882.0
LC.GFE,20251128,96420.0,96400.0,580962.0,526998.0
LC.GFE,20251201,96940.0,97260.0,535475.0,543633.0
LC.GFE,20251202,96560.0,96380.0,454290.0,552239.0
LC.GFE,20251203,93660.0,94900.0,643323.0,562836.0
LC.GFE,20251204,93700.0,93320.0,663458.0,560629.0
LC.GFE,20251205,92160.0,93200.0,461507.0,560676.0
LC.GFE,20251208,94840.0,93960.0,599367.0,593129.0
LC.GFE,20251209,92800.0,93580.0,512215.0,575421.0
LC.GFE,20251210,95980.0,95100.0,620935.0,605453.0
LC.GFE,20251211,98880.0,97900.0,744190.0,634283.0
LC.GFE,20251212,97720.0,99660.0,757689.0,636384.0
LC.GFE,20251215,101060.0,99340.0,699601.0,662185.0
LC.GFE,20251216,100600.0,100940.0,597317.0,666027.0
LC.GFE,20251217,108620.0,107000.0,1158611.0,668589.0
LC.GFE,20251218,106160.0,107260.0,1013916.0,672711.0
LC.GFE,20251219,111400.0,110000.0,928963.0,668829.0
LC.GFE,20251222,114380.0,113900.0,1007441.0,671889.0
LC.GFE,20251223,120360.0,117780.0,731003.0,671573.0
LC.GFE,20251224,124720.0,122980.0,949006.0,647366.0
LC.GFE,20251225,123520.0,120720.0,924823.0,607187.0
LC.GFE,20251226,130520.0,129000.0,428716.0,577035.0
LC.GFE,20251229,118820.0,126340.0,688764.0,512345.0
LC.GFE,20251230,121580.0,120540.0,459530.0,511309.0
LC.GFE,20251231,121580.0,120640.0,392450.0,490194.0
LC.GFE,20260105,129980.0,126560.0,343623.0,515292.0
LC.GFE,20260106,137940.0,136120.0,304237.0,534999.0
LC.GFE,20260107,142300.0,141520.0,420407.0,506520.0
LC.GFE,20260108,145000.0,143400.0,654824.0,514467.0
LC.GFE,20260109,143420.0,143180.0,469479.0,510874.0
LC.GFE,20260112,156060.0,155420.0,68491.0,506702.0
LC.GFE,20260113,166980.0,167860.0,608177.0,460281.0
LC.GFE,20260114,161940.0,165380.0,589019.0,452583.0
LC.GFE,20260115,163220.0,160640.0,431256.0,443942.0
LC.GFE,20260116,146200.0,153120.0,591523.0,416133.0
LC.GFE,20260119,147260.0,147260.0,329126.0,411331.0
LC.GFE,20260120,160500.0,155460.0,451074.0,415351.0
LC.GFE,20260121,166740.0,164580.0,376418.0,427928.0
LC.GFE,20260122,168780.0,169160.0,464397.0,436686.0
LC.GFE,20260123,181520.0,177320.0,342805.0,438728.0
