??,2025H2????(??),2025H2????(??),2025H2????(??),2025H2???(%)
新能源建设开发,81.61524648439999,72.7696157551,8.845630729300003,10.838208680765014
其他主营业务,13.780971655599997,,,
其他业务,,,,
光伏逆变器等电力转换设备,158.0876558829,104.94425862809999,53.14339725479999,33.61641170400098
光伏电站发电收入,5.4845919279999995,,,
储能系统,194.83800957000003,129.85896055260002,64.9790490174,33.35029400105567
