起始FCF(亿元),折现率,永续增长率,反推前5年FCF CAGR
120,0.09,0.03,0.06873711298148388
120,0.095,0.03,0.08824083776451574
120,0.1,0.03,0.10683647229412652
135,0.09,0.03,0.04118459618642867
135,0.095,0.03,0.06010411579905195
135,0.1,0.03,0.07814013733337177
145,0.09,0.03,0.024718635692773216
145,0.095,0.03,0.04328786214020075
145,0.1,0.03,0.06098832801583931
150,0.09,0.03,0.016971284710022183
150,0.095,0.03,0.035375379733994516
150,0.1,0.03,0.05291765955331573
