ts_code,ann_date,end_date,roe,roic,roa,grossprofit_margin,netprofit_margin,current_ratio,quick_ratio,debt_to_assets,ocf_to_profit,eps,bps,arturn_days,invturn_days
600298.SH,20151030,20150930,6.7255,5.4741,5.8478,29.3672,7.2232,0.8269,0.4315,47.9739,158.3552,0.588,8.9336,35.8585,118.1464
600298.SH,20150817,20150630,4.9129,3.7781,4.2004,30.3335,7.7119,0.8021,0.3742,48.3879,54.5034,0.425,8.7529,35.8623,124.0438
600298.SH,20150424,20150331,1.734,1.4472,1.6621,30.2436,5.9992,0.8022,0.4137,50.3041,-147.2255,0.149,8.6476,36.7872,128.8106
600298.SH,20150328,20141231,5.2963,4.6682,5.4716,29.2924,4.839,0.8126,0.4654,51.7451,362.188,0.4465,8.5621,38.2962,129.2546
600298.SH,20141024,20140930,4.4583,3.9637,4.473,29.4985,5.299,0.7989,0.4363,51.0527,340.4082,0.375,8.5069,41.9567,133.5047
600298.SH,20140725,20140630,3.1378,2.5498,2.9667,30.7272,5.7178,0.9761,0.5357,53.8153,75.1483,0.262,8.3928,44.5434,147.5531
600298.SH,20140418,20140331,1.3148,1.2743,1.4943,31.8975,5.367,0.9654,0.5332,54.3249,-122.7022,0.11,8.4087,46.3464,165.2893
600298.SH,20140315,20131231,5.4125,4.6671,5.5884,29.2683,5.8354,0.9267,0.5337,53.7558,230.8459,0.4443,8.2999,53.1138,136.8821
600298.SH,20131026,20130930,4.8979,4.0877,4.1644,30.0423,7.4351,0.9721,0.5723,53.3092,54.578,0.403,8.3353,62.4263,151.4387
600298.SH,20130718,20130630,3.6223,2.9013,2.8976,31.7361,8.4101,0.9989,0.6271,55.633,-38.3399,0.296,8.2179,67.9271,162.2352
