ts_code,end_date,ann_date,roe,roic,grossprofit_margin,netprofit_margin,debt_to_assets,rn,name
002507.SZ,20250930,20251025,7.6546,7.0137,53.7308,33.6725,6.6151,1,涪陵榨菜
600298.SH,20250930,20251030,9.9661,6.5377,25.5393,9.7666,48.8541,1,安琪酵母
600872.SH,20250930,20251025,6.7204,5.946,39.2051,12.0538,27.3633,1,中炬高新
600887.SH,20250930,20251031,19.0448,8.3612,35.3229,11.5342,60.5511,1,伊利股份
603288.SH,20250930,20251029,15.1095,13.8582,39.9734,24.6435,15.3844,1,海天味业
603345.SH,20250930,20251029,6.7614,6.1824,20.3443,8.358,23.911,1,安井食品
