ts_code,name,trade_date,close,pe_ttm,pb,ps_ttm,dv_ttm,total_mv
603288.SH,海天味业,20260417,39.94,33.2064,5.9057,8.0947,3.5494,23372188.8263
600887.SH,伊利股份,20260417,25.39,20.0488,3.0146,1.3726,6.6955,16060090.7335
600298.SH,安琪酵母,20260417,39.76,22.3444,2.8703,2.0628,1.3836,3450884.3959
603345.SH,安井食品,20260417,92.79,22.7524,1.9962,1.9099,2.6192,3092588.0
600872.SH,中炬高新,20260417,19.52,21.8105,2.67,3.2134,2.1417,1519650.0131
002507.SZ,涪陵榨菜,20260417,12.3,18.4799,1.622,5.8362,5.0407,1419320.4044
