end_date,ann_date,audit_result,audit_agency
20241231,20250331,标准无保留意见,德勤华永会计师事务所
20231231,20240327,标准无保留意见,普华永道中天会计师事务所
20221231,20230323,标准无保留意见,普华永道中天会计师事务所
20211231,20220329,标准无保留意见,普华永道中天会计师事务所
20201231,20210329,标准无保留意见,普华永道中天会计师事务所
20191231,20200330,标准无保留意见,普华永道中天会计师事务所
20181231,20190329,标准无保留意见,普华永道中天会计师事务所
20171231,20180328,标准无保留意见,普华永道中天会计师事务所
20161231,20170331,标准无保留意见,普华永道中天会计师事务所
20151231,20160329,标准无保留意见,普华永道中天会计师事务所
