ts_code,name,trade_date,close,pe_ttm,pb,ps_ttm,dv_ttm,total_mv
600809.SH,山西汾酒,20260417,139.5,13.8391,4.3885,4.5289,2.5806,17018500.8969
600600.SH,青岛啤酒,20260417,61.95,18.4198,2.7574,2.6025,3.5513,8451188.7746
000729.SZ,燕京啤酒,20260417,12.88,21.6202,2.345,2.3676,2.2516,3630278.6712
603369.SH,今世缘,20260417,25.71,11.1489,1.9418,3.0574,4.6674,3205522.8951
600132.SH,重庆啤酒,20260417,53.97,21.2202,18.9686,1.7742,4.0763,2611992.5556
002461.SZ,珠江啤酒,20260417,9.72,23.8034,1.9493,3.6603,1.749,2151355.2826
