ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type,收入亿元,毛利亿元,毛利率,收入占比
688390.SH,20251231,储能电池,P,1546166397.2,406029876.52,1140136520.68,CNY,15.461663972,4.0602987652,0.26260425608478616,0.17393784354307076
688390.SH,20251231,光伏储能逆变器,P,955952698.78,449404108.83,506548589.95,CNY,9.5595269878,4.4940410882999995,0.47011124023556367,0.10754104555375593
688390.SH,20251231,光伏并网逆变器,P,2560813149.95,517563010.77,2043250139.18,CNY,25.608131499499997,5.1756301077,0.20210885389279787,0.2880817471041087
688390.SH,20251231,其他业务,P,83000776.67,21789696.69,61211079.98,CNY,0.8300077667,0.21789696690000002,0.26252400958406596,0.009337271934330083
688390.SH,20251231,其他收入,P,634063525.53,176958478.34,457105047.19,CNY,6.3406352553,1.7695847834,0.27908635525452163,0.07132973688972173
688390.SH,20251231,户用系统销售,P,3109192634.08,340630285.48,2768562348.6,CNY,31.0919263408,3.4063028548000003,0.109555864035678,0.34977235497501286
