ts_code,ann_date,end_date,n_cashflow_act,free_cashflow
603501.SH,20260331,20251231,4119514939.45,1686635526.257
603501.SH,20250416,20241231,4771871581.03,3275828382.4
603501.SH,20240427,20231231,7536687722.22,6054294382.1242
603501.SH,20230408,20221231,-1993297788.47,-5486730719.2473
603501.SH,20220419,20211231,2192411060.29,-3117191195.24
603501.SH,20210416,20201231,3344594067.54,1702464565.8105
603501.SH,20200410,20191231,805335234.79,-2833368107.0033
603501.SH,20190328,20181231,5401858.32,-255018092.2931
