ts_code,name,trade_date,close,pe_ttm,pb,ps_ttm,dv_ttm,total_mv
002371.SZ,北方华创,20260420,471.23,61.855,9.0538,8.6794,0.1659,34156287.3638
688008.SH,澜起科技,20260420,154.66,84.5536,9.4545,34.6434,0.3779,18902545.5248
603501.SH,豪威集团,20260420,93.78,29.2357,3.6186,4.0988,0.6578,11827044.8468
300782.SZ,卓胜微,20260420,114.48,,6.1877,16.4355,0.089,6124029.7307
300223.SZ,北京君正,20260420,121.04,155.2437,4.6917,12.3195,0.0825,5840672.9112
300458.SZ,全志科技,20260420,39.6,124.6961,10.4948,11.5178,0.4844,3268692.4327
