ts_code,name,industry,market,list_date,act_name,total_mv,pe_ttm,pb,employees,mv_亿,top1_holder,top1_hold_ratio,latest_holder_end_date,founder_best_ratio,founder_best_rank,mgr_latest_ann_date,mgr_count,mgr_avg_age,mgr_high_edu_ratio,mgr_high_edu_count,mgr_edu_sample_n,founder_major_holder,young_mgmt,high_edu_mgmt,mgr_data_ok,all_match_proxy
301587.SZ,中瑞股份,电气设备,创业板,20240408,杨学新,408098.6708,88.4756,2.0627,1303.0,40.809867080000004,杨学新,50.1432,20250930,50.1432,1.0,20250905,1.0,44.0,0.0,0.0,1.0,True,True,False,False,False
688530.SH,欧莱新材,半导体,科创板,20240509,文宏福,536150.1604,,6.6486,529.0,53.61501604000001,文宏福,20.2443,20251231,20.2443,1.0,20251206,1.0,36.0,1.0,1.0,1.0,True,True,True,False,False
920533.BJ,骏创科技,汽车配件,北交所,20220524,沈安居,319047.8803,87.7461,8.6462,739.0,31.904788030000002,沈安居,54.9889,20251231,54.9889,1.0,20251120,3.0,46.0,0.6666666666666666,2.0,3.0,True,False,True,True,False
688225.SH,亚信安全,软件服务,科创板,20220209,田溯宁,686417.16,,3.9532,15509.0,68.641716,亚信信远(南京)企业管理有限公司,20.2366,20251231,,,20251018,1.0,52.0,1.0,1.0,1.0,False,False,True,False,False
301075.SZ,多瑞医药,化学制药,创业板,20210929,崔子浩,652800.0,,10.9364,484.0,65.28,西藏嘉康时代科技发展有限公司,58.3475,20250930,,,20251110,3.0,48.666666666666664,0.0,0.0,3.0,False,False,False,True,False
603170.SH,宝立食品,食品,主板,20220715,马驹,530413.26,21.0807,3.7578,1308.0,53.041326,杭州臻品致信投资合伙企业(有限合伙),30.5992,20250930,17.912,3.0,20251129,3.0,42.0,0.0,0.0,3.0,True,True,False,True,False
688119.SH,中钢洛耐,其他建材,科创板,20220606,国务院国有资产监督管理委员会,604125.0,,2.1467,2677.0,60.4125,中钢科技发展有限公司,37.72,20250930,,,20251227,1.0,48.0,1.0,1.0,1.0,False,False,True,False,False
301505.SZ,苏州规划,建筑工程,创业板,20230719,李锋,263234.3793,118.9342,2.7066,673.0,26.323437929999997,李锋,8.9954,20251231,8.9954,1.0,20251224,1.0,39.0,0.0,0.0,1.0,True,True,False,False,False
301323.SZ,新莱福,橡胶,创业板,20230606,汪小明,725288.7116,50.7747,3.3539,1170.0,72.52887116000001,宁波新莱福自有资金投资合伙企业(有限合伙),34.8113,20250930,,,20251111,1.0,63.0,0.0,0.0,1.0,False,False,False,False,False
301580.SZ,爱迪特,医疗保健,创业板,20240626,李洪文,830137.7432,45.8823,3.9822,959.0,83.01377432,天津源一企业管理咨询中心(有限合伙),17.9065,20250930,,,20251127,9.0,54.77777777777778,0.8888888888888888,8.0,9.0,False,False,True,True,False
920526.BJ,凯华材料,化工原料,北交所,20221222,任志成,233792.9,162.2594,10.2125,140.0,23.37929,任志成,24.4845,20251231,24.4845,1.0,20250918,3.0,41.666666666666664,0.3333333333333333,1.0,3.0,True,True,False,True,False
