end_date,total_revenue,n_income_attr_p,sell_exp,admin_exp,fin_exp,rd_exp
20251231,45104844200.13,5050002089.89,1535569362.25,1825083023.76,-65718516.78,4255773574.67
20241231,37040952138.72,4285493340.7,1480877527.16,1541353074.89,-3193949.05,3147080701.82
20231231,30419925397.64,4741863347.2,1943204550.3,1298757333.57,766992.32,2624147622.73
20221231,23008312443.12,4319762362.29,1258147797.67,1093186977.94,125215651.58,2229268919.0
20211231,17943256595.29,3573404586.07,1050429475.9,866070345.77,-67451675.47,1685457195.96
20201231,11511316766.18,2100142115.63,871391036.41,580265065.7,-55174147.16,1023233534.79
