end_date,ann_date,audit_result,audit_agency
20241231,20250308,标准无保留意见,德勤华永会计师事务所
20240630,20240831,标准无保留意见,德勤华永会计师事务所
20231231,20240415,标准无保留意见,普华永道中天会计师事务所
20221231,20230422,标准无保留意见,普华永道中天会计师事务所
20211231,20220228,标准无保留意见,普华永道中天会计师事务所
20201231,20210507,标准无保留意见,普华永道中天会计师事务所
20191231,20210507,标准无保留意见,普华永道中天会计师事务所
20181231,20210507,标准无保留意见,普华永道中天会计师事务所
