ts_code,end_date,ann_date,roe,roic,grossprofit_margin,netprofit_margin,debt_to_assets,rn,name
000848.SZ,20250930,20251023,11.0288,9.5577,45.62,19.6124,25.4398,1,承德露露
002956.SZ,20250930,20251030,8.5873,7.8519,43.6386,7.8132,25.8854,1,西麦食品
300997.SZ,20250930,20251027,0.9792,0.8824,29.1998,1.0104,41.059,1,欢乐家
603156.SH,20250930,20251025,11.7785,11.2342,44.5678,28.6543,20.5582,1,养元饮品
603711.SH,20250930,20251031,-2.6249,-3.3374,32.9084,-5.3223,30.0984,1,香飘飘
605499.SH,20250930,20251025,45.6247,24.2717,45.1688,22.3214,63.2415,1,东鹏饮料
