ts_code,ann_date,end_date,n_cashflow_act,free_cashflow
605499.SH,20260331,20251231,6174239867.75,2962875365.4549
605499.SH,20250308,20241231,5789408508.54,5587909409.5506
605499.SH,20240415,20231231,3281269652.65,4378106441.1434
605499.SH,20230422,20221231,2026105140.73,87170219.9178
605499.SH,20220228,20211231,2076844037.67,377009633.3721
605499.SH,20210507,20201231,1340363152.97,585519255.7083
605499.SH,20210507,20191231,1210981435.14,640721048.628
605499.SH,20210507,20181231,194939675.29,160510294.6956
