ts_code,ann_date,end_date,total_assets,total_liab,total_cur_assets,total_cur_liab,money_cap,inventories,accounts_receiv,st_borr,lt_borr,bond_payable
605499.SH,20260331,20251231,26720734868.03,17296937481.94,15387480152.04,16810061130.43,5680038991.67,656962778.37,90933632.77,6630229703.11,,
605499.SH,20250308,20241231,22676296132.9,14984716162.9,12705623457.77,14845041765.22,5652549123.16,1068083706.94,81308865.28,6551336921.28,,
605499.SH,20240415,20231231,14710049912.67,8386292064.3,8768561760.1,8047339829.6,6057691941.67,568601205.75,66355962.0,2995705569.13,220000000.0,
605499.SH,20230422,20221231,11869648285.86,6805357274.9,7246191093.87,6705698938.93,2157560463.61,394219877.51,24753376.87,3181599633.03,,
605499.SH,20220228,20211231,7790491158.98,3552365618.28,2851526792.61,3415087871.7,1019104042.2,340036039.63,24573790.08,623500000.0,25825000.0,
605499.SH,20210507,20201231,4361286447.41,2448033072.85,1958977195.91,2130003082.75,1224853696.22,272701291.47,12851729.88,110000000.0,301726643.79,
605499.SH,20210507,20191231,3340700307.28,1705519443.7,1451539982.9,1452011371.17,945095701.14,214228141.42,25571792.5,10000000.0,236875000.0,
605499.SH,20210507,20181231,2107525687.34,1020581719.35,682486654.53,956771256.23,339295028.62,119628629.48,39542317.39,154797844.73,50000000.0,
