ts_code,name,industry,list_date,trade_date,total_mv,pe_ttm,pb,fina_end_date,roe_used,roe,roe_yearly,pe_hist_n,pb_hist_n,pe_percentile_5y,pb_percentile_5y,total_revenue,n_income_attr_p,total_assets,total_liab,n_cashflow_act,market_cap_yi,debt_asset_ratio_pct,net_margin_pct,roa_est_pct,ocf_to_profit,value_score,valuation_low_by,latest_annual_end,revenue_yoy_pct,profit_yoy_pct
603132.SH,金徽股份,铅锌,20220222,20260414,1799520.0,27.5423,5.2761,20250930,14.3841,10.7881,14.3841,36,36,0.0277777777777777,0.3888888888888889,528197145.69,204927578.45,8830350637.87,5419634370.38,196184284.39,179.952,61.37507549402691,38.79755506484173,2.320718472618107,0.9573347124572924,0.0277777777777777,PE,20251231,11.997358571921698,13.6911087976396
000598.SZ,兴蓉环境,水务,19960529,20260414,1963477.7384,9.7968,0.9956,20250930,12.4979,9.3734,12.4979,36,36,0.0277777777777777,0.0277777777777777,6547780277.56,1764167822.74,49370674255.93,28466218956.27,2399067521.56,196.34777384,57.65815311475288,26.9429905701938,3.573311179820686,1.3598862254691346,0.0277777777777777,PE&PB,20241231,11.897977037222656,8.283792008893716
001337.SZ,四川黄金,黄金,20230303,20260414,2049600.0,43.9995,11.2073,20250930,30.8527,23.1395,30.8527,36,36,0.0555555555555555,0.1388888888888889,1026149563.13,465823988.03,2998315205.73,1169500587.28,645149841.08,204.96,39.00525818783158,45.39533073610889,15.536191363062034,1.384964831477187,0.0555555555555555,PE&PB,20251231,60.37747113252119,87.6882724027156
002517.SZ,恺英网络,互联网,20101207,20260414,3807141.843,19.7068,3.7269,20250930,25.1892,18.8919,25.1892,36,36,0.0555555555555555,0.0555555555555555,4075034147.51,1583464815.29,13168354491.03,2954220870.03,1317139633.09,380.7141843,22.43424470416825,38.857706658913685,12.024773606820974,0.8318085885910735,0.0555555555555555,PE&PB,20241231,19.15547875911016,11.408414299643114
002270.SZ,华明装备,电气设备,20080905,20260414,2397403.0279,33.7787,7.6297,20250930,24.436,18.327,24.436,36,36,0.0555555555555555,0.0555555555555555,2426794600.12,709737360.27,5208442684.19,2036070254.77,604031442.9,239.74030279,39.09172814650341,29.245876854798716,13.626671220255082,0.8510633323152283,0.0555555555555555,PE&PB,20251231,4.503984166498731,15.536192044576916
301061.SZ,匠心家居,家居用品,20210913,20260414,1545372.9207,16.9887,3.837,20250930,23.0639,17.2979,23.0639,36,36,0.0555555555555555,0.0555555555555555,2511429964.0,657534469.55,5118818579.8,1091286206.59,556602258.03,154.53729206999998,21.319103023038533,26.181676533903136,12.845434142651149,0.8464989803666484,0.0555555555555555,PE&PB,20241231,32.627207863454586,67.63621791207436
002311.SZ,海大集团,饲料,20091127,20260414,8037576.1051,16.0028,3.1808,20250930,22.4641,16.8481,22.4641,36,36,0.0555555555555555,0.0555555555555555,96094150423.09,4142427609.26,50815503883.14,24281714356.04,5017432819.17,803.7576105100001,47.78406687037968,4.310801012362805,8.151897143018216,1.2112300545588317,0.0555555555555555,PE&PB,20241231,-1.30567434350383,64.30405997406432
603568.SH,伟明环保,环境保护,20150528,20260414,4217175.7935,15.4591,2.8845,20250930,20.378,15.2835,20.378,36,36,0.0555555555555555,0.0555555555555555,5880143836.28,2134946762.65,29948942534.97,13437872415.44,2296321626.88,421.71757935,44.8692717605946,36.307730254446426,7.128621520299492,1.0755873013103583,0.0555555555555555,PE&PB,20241231,19.03060826865211,31.994113669831545
601021.SH,春秋航空,空运,20150121,20260414,4637300.425,20.0108,2.5531,20250930,17.5144,13.1358,17.5144,36,36,0.0555555555555555,0.1944444444444444,21459531429.0,2317401673.0,46876574409.0,28713072937.0,6623358345.0,463.7300425,61.252498287262384,10.798938833623868,4.943624192289686,2.8580968168654635,0.0555555555555555,PE&PB,20251231,7.298047811827181,1.9559378150286175
600866.SH,星湖科技,饲料,19940818,20260414,1146416.105,8.949,1.3799,20250930,16.7259,12.5444,16.7259,36,36,0.0555555555555555,0.0555555555555555,12077319754.43,1015125264.79,17268051987.06,8769939640.0,1847071829.76,114.6416105,50.78708152240825,8.405219746025592,5.8786322021192365,1.819550644463672,0.0555555555555555,PE&PB,20241231,-0.2263059080589768,39.117471339831326
002891.SZ,中宠股份,饲料,20170821,20260414,1215884.8183,27.3141,3.6725,20250930,16.7076,12.5307,16.7076,36,36,0.2222222222222222,0.0555555555555555,3859906177.68,333308055.43,5364318785.07,2255556391.61,234411293.8,121.58848183,42.0473965471194,8.6351336039555,6.213427441293473,0.7032872142786544,0.0555555555555555,PE&PB,20241231,19.148939864197235,68.89449357041241
